x,y,label
0.30227045607759734,0.45082740406789107,0
0.3682352957019834,0.36034031053836096,0
0.7369102662259321,0.3774674591400309,2
0.7094153516200132,0.36995634945236167,2
0.27649693742217624,0.540150401491048,0
0.3377238527029286,0.7665533951898936,1
0.5568288914074011,0.5013547241471921,2
0.3233901355842619,0.5043757539126276,0
0.43123922410060755,0.5810230452959531,1
0.7133830456903033,0.2615268015526103,2
0.2541726312486269,0.5676852125974493,0
0.3289265431921764,0.4401686873969503,0
0.8308270961789661,0.2234820706107553,2
0.2550942610507051,0.8625849252763951,1
0.6336204918734493,0.48747788119043506,2
0.2827488771406922,0.8261535035414276,1
0.2784450936521571,0.48510887125597685,0
0.889261372040662,0.1421090497371404,2
0.4040141904790951,0.6577673857394043,1
0.8707809061033811,0.12302472449255764,2
0.27773952128507423,0.5543946045468419,0
0.6926919583847484,0.4232528698118988,2
0.4553271168059657,0.5683018076037896,1
0.6034015686428983,0.4805085870122326,2
0.8112248974574074,0.21803017662206664,2
0.776201738759466,0.28641221652076476,2
0.2896931113166429,0.45870106089658014,0
0.23724669890115752,0.6306014658838166,0
0.7959959299940327,0.29323951090413103,2
0.7298810247867946,0.41526818079275074,2
0.7487653105172496,0.39200285071015967,2
0.8112518540372069,0.27106918266849045,2
0.39070767652515015,0.6773227311003486,1
0.8797583292621268,0.13426740939624204,2
0.5465645144668724,0.436409983279843,1
0.2759995623741648,0.49286313317592095,0
0.7573659162089721,0.2796345300079173,2
0.41839241452897596,0.5634730179184297,1
0.2650116774783279,0.5403640362063645,0
0.42108108880746753,0.672572245096202,1
0.8445955462252535,0.2110992751421374,2
0.16644300356633623,0.9972833160434829,1
0.10411421872820936,0.7570417753772261,0
0.6850738316551354,0.462342842623266,2
0.2816003834922204,0.7753860564939534,1
0.3901578342293515,0.6300740829555334,1
0.259362366982903,0.4864177396985478,0
0.7389506753994045,0.3126212325589565,2
0.8433939878266178,0.21550734913271635,2
0.4169221829087474,0.6579877189561356,1
0.2617262011141139,0.8152015051343797,1
0.9248651057546176,0.13713564148214485,2
0.23049309400385548,0.8036625555924211,1
0.24914350259178103,0.5268488533136118,0
